id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53432,DBA,6,5B,M,HET,black,19.7,45.1,2440.1,PM,0,0.7,9,2,13.6,5.7,69.1,62,26.3,98
53434,DBA,6,5B,F,WT,black,25,32.4,4426.9,PM,0,0.9,74.3,3,50.3,15.2,174.6,58,28.9,134
53435,DBA,6,5B,F,WT,black,20,73.4,6372.2,PM,1.34,3.2,28.4,4,43.1,22.3,152.8,69,25.5,147
53437,SM,6,5B,M,HET,black+tan,26.1,47.6,6745.7,PM,0.45,0.7,20.5,5,49,148.8,62.6,75,37,155
53438,SM,6,5B,M,HET,black+tan,24.6,114.2,6502.2,PM,0,0,23.3,1,48.5,122.4,41.8,63,35.9,162
53441,SM,6,5B,F,WT,black+tan,18.3,139.9,11291.7,PM,0,1.1,12.1,2,34.6,108.6,17.2,54,20.8,109
53442,SM,6,5B,F,HET,black+tan,18.9,34,5876.1,PM,0.9,1.8,76.7,3,17.4,102.4,30.8,47,20.7,122
53443,NOD,12,5B,F,WT,agouti,18.9,87.8,5946.2,PM,2.23,61,71.9,4,51.6,23,43.5,51,24.8,90
53444,NOD,12,5B,F,WT,agouti,18.6,197.9,7627.7,PM,0.9,5.5,20.1,5,50.1,27,47,44,22.5,91
53445,NOD,12,5B,F,WT,agouti,18.8,63.6,5312,PM,0,6.2,21.4,1,23.1,10.8,105.5,42,23.7,99
53460,SWR,6,5B,M,HET,agouti,22.2,166.2,5959,PM,2.24,1.3,68.3,2,27.5,42.8,8.2,42,25.4,143
53461,SWR,6,5B,M,HET,agouti,23.4,187.5,3437.6,PM,0.89,1.3,26.8,3,25,36.2,4.3,61,26.2,107
53463,SWR,6,5B,F,WT,agouti,19.2,116,4788.4,PM,0.89,0,54.5,4,59.3,64.8,39.1,82,23.4,95
53464,SWR,6,5B,F,HET,agouti,19,35.8,3583.2,PM,0.45,1.8,79.5,5,27.4,64.6,11.5,83,21.9,95
53466,C3H,9,5B,M,HET,agouti,23,41.3,4452.4,PM,0,9.3,25,1,51.1,60.3,34.3,71,29.3,120
53467,C3H,9,5B,M,WT,agouti,24.9,92.9,3855.4,PM,0,0.5,73.6,2,47.4,59.4,61,67,31.6,121
53470,C3H,9,5B,F,HET,agouti,20.3,27.6,2636.8,PM,0,0.4,91.3,3,14.7,69.1,8.2,46,24.2,99
53471,C3H,9,5B,F,HET,agouti,18.6,23,3193.2,PM,0,0.4,29.9,4,67.7,60.5,50.4,59,22.6,149
53472,C3H,9,5B,F,HET,agouti,19.2,7.6,1456.2,PM,0.45,0,0,5,45.4,48.3,19.8,54,21.8,122
53473,C3H,9,5B,F,HET,agouti,19.9,6.2,1496.6,PM,0,0.2,72.2,1,76.7,49.2,14.9,82,22,99
53474,C3H,9,5B,F,WT,agouti,20.6,70.7,3350,PM,0,0,56.1,2,68.2,37.6,42.5,47,24.4,100
53475,BALB,10,5B,M,HET,agouti,22.9,53.1,6025.7,PM,0,0,1.3,3,45.3,46.8,64.8,67,25.8,101
53476,BALB,10,5B,M,HET,agouti,24,124.2,5091.8,PM,0,0,0,4,26.3,69.6,34.4,50,26.1,167
53479,BALB,10,5B,F,HET,agouti,15.5,35.7,4785.6,PM,5.8,51.3,82.1,5,54.2,41.8,129.8,53,19.8,102
53480,BALB,10,5B,F,WT,agouti,19.8,83.1,4605.3,PM,0.89,0.5,40.6,1,37.6,14.6,116.8,40,23.4,111
53481,BALB,10,5B,F,HET,agouti,17.2,14.8,2111.1,PM,0.45,5,23.7,2,47.8,26,70.2,41,22.4,100
53482,BALB,10,5B,F,WT,agouti,18.7,127,6554.7,PM,0,71,27.7,3,26.8,10.8,124.1,54,22,104
53483,BALB,10,5B,F,HET,agouti,16.9,26.6,2033.4,PM,3.13,7.8,71,4,69.4,49,130.5,39,20.9,87
53484,BALB,10,5B,F,WT,agouti,19.4,160.9,5670.6,PM,0,10.1,25.4,5,48.9,14.3,89.3,40,23.2,94
53485,AKR,6,5B,M,WT,black,33.2,138.9,7229.3,PM,0,2.7,38.8,1,48.1,14.7,51.1,76,41.5,150
53486,AKR,6,5B,M,WT,black,30.9,164.5,6114.4,PM,0.45,0,1.3,2,58.7,15.3,67,80,38.5,139
53487,AKR,6,5B,M,HET,black,19.3,11.2,2890.4,PM,0.45,1.3,16.5,3,5.2,43.1,46.6,53,26,115
